0,0.2,0.5,0.7,1
0.1344,0.3441,0.466,0.5458,0.6894
0.2688,0.2783,0.2949,0.4643,0.7462
0.2376,0.7463,1.182,1.4309,1.7342
1.627,2.6143,3.7602,3.7872,3.479
0.2774,0.2198,0.2835,0.2526,0.2949
1.3677,1.2858,1.588,1.8471,2.1943
0.1761,0.5585,0.7621,0.8619,1.0175
0.0984,0.0898,0.1123,0.2801,0.4827
0.1641,0.2128,0.3177,0.3958,0.5232
0.1641,0.3878,0.9324,1.229,1.5954
0.3578,0.1947,0.3421,0.8512,1.5763
0.1399,0.3357,0.4642,0.5297,0.663
0.5135,0.4276,0.4976,0.5541,0.6003
0.1389,0.5716,0.8752,1.0145,1.0585
0.4999,0.284,0.3114,0.7314,1.3118
0.4373,0.4026,0.5207,0.6778,0.9031
0.0879,0.235,0.6313,0.9313,1.3521
0.9677,1.8201,2.4953,2.6651,2.8058
0.086,0.1098,0.1713,0.1974,0.2572
0.0715,0.0687,0.2277,0.3323,0.4664
0.3256,0.446,1.3066,2.1036,3.1959
0.2356,0.3514,0.382,0.3862,0.438
0.5415,1.7347,2.2348,2.4181,2.5822
0.0273,0.3066,0.8197,1.1219,1.5132
0.0294,0.0551,0.1009,0.1862,0.3466
0.2045,0.4557,0.581,0.6516,0.7526
0.5773,0.5881,0.5308,0.4447,0.4245
0.4825,0.4621,1.001,1.4428,2.1262
0.5337,1.0897,0.7252,0.6927,1.4491
0.1413,0.1492,0.047,0.1103,0.3017
0.1361,0.1716,0.2916,0.4117,0.5814
0.0636,0.2441,0.5819,0.8305,1.2302
0.1904,0.1901,0.2318,0.395,0.6383
0.3508,0.8894,1.2476,1.3039,1.2926
0.334,0.4889,0.8269,1.2301,2.1456
0.4105,0.7921,1.2028,1.4321,1.7292
0.0747,0.0607,0.1252,0.2101,0.3757
0.0635,0.384,0.6966,0.9058,1.2072
0.4907,0.6022,0.6874,0.7599,0.9675
2.1795,2.7474,3.4217,2.9807,2.139
0.2217,0.1204,0.1383,0.3342,0.6093
0.0605,0.1186,0.2343,0.3004,0.4083
0.0548,0.3121,0.745,1.0199,1.407
0.2217,0.244,0.8262,1.3713,2.2735
0.2341,0.2676,0.6025,0.9355,1.4521
0.179,0.2464,0.1692,0.2634,0.4907
0.1158,0.2191,0.3821,0.4382,0.55
0.4185,0.5744,0.8561,1.1701,1.7462
0.2058,0.1781,0.0711,0.2324,0.5234
0.2512,0.6341,1.2353,1.6817,2.2729
1.2039,1.0629,1.8939,2.1501,2.1921
